"The Hill, ""Jimmy Carter:"" Tôi nghĩ rằng đó là OK 'để hợp pháp hoá cần sa, ""ngày 11 tháng 12 năm 2012"
"Politico, ""Carter: Tôi đồng ý với việc hợp pháp hoá nồi"", ngày 11 tháng 12 năm 2012"
"The Daily Beast, ""Jimmy Carter xác nhận SAM, phản đối việc hợp pháp hóa cần sa,"" ngày 17 tháng 5 năm 2013"
"NBC News, ""Tổng thống Jimmy Carter nói rằng ung thư trong não đã qua đời"", ngày 6 tháng 12 năm 2015"
"SatiraTribune.com, ""Jimmy Carter:"" Cần sa y tế chữa khỏi bệnh ung thư của tôi "", ngày 7 tháng 12 năm 2015"
"NBC News, ""Jimmy Carter: Tôi nghĩ tôi đã có"" hai hoặc ba tuần để sống ""sau khi chẩn đoán ung thư"", ngày 22 tháng 8 năm 2016"
"Business Insider, ""Bản đồ này cho thấy mọi trạng thái cần sa hợp pháp vào Ngày bầu cử,"" ngày 9 tháng 11 năm 2016"
"Dự án Tổng thống Mỹ, ""Thông điệp lạm dụng ma túy cho Quốc hội. Ngày 2 tháng 8 năm 1977,"" được truy cập ngày 6 tháng 3 năm 2016"
"UrbanImageMagazine.com, ""300.000 pound thịt chuột được bán làm cánh gà trên khắp nước Mỹ"", ngày 15 tháng 2 năm 2016"
"Chính sách đối ngoại, ""5 cách bạn biết bạn đang ăn thịt chuột"", ngày 3 tháng 5 năm 2013"
"New York Times, ""Rat Meat bán như Lamb nổi bật Sợ hãi ở Trung Quốc,"" ngày 03 tháng 5 năm 2013"
"WorldNewsDailyReport.com, ""Rat thịt được bán dưới dạng cánh gà: FDA cảnh báo vấn đề trước Super Bowl,"" ngày 6 tháng 2 năm 2016"
"TheSeattleTribune.com, ""BREAKING: Thiết bị Android của Trump được coi là nguồn gốc của những rò rỉ nhà trắng gần đây"", ngày 26 tháng 2 năm 2017"
"Thời gian, ""Nhà trắng thu thập điện thoại di động để Crack Down trên Rò rỉ. Sau đó, Rò rỉ,"" ngày 28 tháng 2 năm 2017"
"The Hill, ""Trump vẫn sử dụng điện thoại Android không an toàn"", ngày 25 tháng 1 năm 2017"
"USPOLN.com, ""Stephen Bannon:"" Không ai có thể đổ lỗi cho bạn vì đã đánh bại vợ của bạn nếu đó là tình yêu "", ngày 14 tháng 11 năm 2016"
"New York Times, ""Giám đốc chiến dịch của Donald Trump, Stephen Bannon, đã phải đối mặt với các khoản phí bạo lực gia đình vào năm 1996,"" ngày 25 tháng 8 năm 2016"
"Politico, ""Giám đốc điều hành chiến dịch Trump từng bị buộc tội trong vụ kiện bạo lực gia đình"", ngày 25 tháng 8 năm 2016"
"Politicops.com, ""Stephen Bannon:"" Không ai có thể đổ lỗi cho bạn vì đã đánh bại vợ nếu đó là tình yêu "", ngày 26 tháng 8 năm 2016"
"PunditFact, ""Mục sư vĩ đại John Hagee muốn tù phụ nữ sử dụng tên của Đức Chúa Trời trong khi quan hệ tình dục? Đó là tin giả,"" ngày 22 tháng 2 năm 2017"
"BlackInsuranceNews.com, ""‘ Đó chỉ là vấn đề thời gian trước khi chúng ta có thể sở hữu màu người một lần nữa ', Chủ tịch NRA Jim Porter, ""27 tháng 2 năm 2017"
"Forbes, ""Gặp gỡ Chủ tịch NRA mới của bạn-Một người đàn ông vẫn chiến đấu trong cuộc nội chiến từ bên thua"", ngày 3 tháng 5 năm 2013"
"Associated Press thông qua Yahoo, ""Tổng thống mới của NRA có xu hướng táo bạo,"" ngày 4 tháng 5 năm 2013"
"FreeWoodPost.com, ""Chủ tịch NRA Jim Porter:"" Đó chỉ là vấn đề thời gian trước khi chúng ta có thể sở hữu màu người lần nữa "", ngày 5 tháng 5 năm 2013"
"National Association Association of Legislative Action, ""Allan D. Cors đã bầu làm Chủ tịch NRA"", ngày 13 tháng 4 năm 2015"
"100PercentFedUp.com, ""HORRIBLE! TOP DEMOCRATS Từ chối Đứng Để Góa phụ Sao Vàng"", ngày 1 tháng 3 năm 2017"
"CNN, ""Đại diện Wilson hét lên,"" Bạn nói dối ""với Obama trong bài phát biểu,"" ngày 10 tháng 9 năm 2009"
"Politico, ""Làm thế nào Lenny Skutnik, anh hùng SOTU của Reagan, được đổ vào nước Mỹ của Obama,"" Jan. 12, 2016"
"Washington Post, ""Nhà Trắng cho biết một cuộc đột kích chết người ở Yemen đã được lên kế hoạch từ lâu tại Washington. Không đúng, nói rằng các quan chức phục vụ Obama."", Ngày 2 tháng 2 năm 2017"
"Miami Herald, ""Cha của Slain SEAL muốn câu trả lời:"" Đừng giấu đằng sau cái chết của con trai tôi "", ngày 26 tháng 2 năm 2017"
"The Hill, ""Trump dường như đổ lỗi cho các tướng lĩnh vì cái chết của SEAL trong cuộc đột kích của Yemen,"" ngày 28 tháng 2 năm 2017"
"NBC News, ""Trump danh dự góa phụ của hải quân Fallen SEAL William 'Ryan' Owens trong địa chỉ để Quốc hội,"" ngày 28 tháng 2 năm 2017"
"DailyWire.com, ""AWFUL: Dân chủ hàng đầu từ chối đứng, vỗ tay cho hải quân SEAL Widow vinh dự bởi Trump,"" ngày 28 tháng 2 năm 2017"
"USA Today, ""các nhà lập pháp GOP cổ vũ bài phát biểu của Trump khi đảng Dân chủ ngồi mặt đá,"" ngày 28 tháng 2 năm 2017"
"McClatchy thông qua YouTube, ""Góa phụ của Hải quân SEAL đã nhận được sự hoan nghênh nhiệt liệt trong bài phát biểu của Trump"", ngày 28 tháng 2 năm 2017"
"Snopes, ""Có phải đảng Dân chủ từ chối đứng cho Góa phụ của Hải quân SEAL không?"", Ngày 1 tháng 3 năm 2017"
"TheBlaze.com, ""Matt Walsh: đảng Dân chủ, màn trình diễn đáng xấu hổ đó chứng minh tại sao người Mỹ bình thường coi thường đảng của bạn"", ngày 1 tháng 3 năm 2017"
"Fox & Friends qua Facebook, trích đoạn phỏng vấn Marco Rubio, ngày 1 tháng 3 năm 2017"
"Phỏng vấn Craig Smith, Trung tâm nghiên cứu sửa đổi đầu tiên tại Đại học bang California, Long Beach, giám đốc danh dự, ngày 1 tháng 3 năm 2017"
"Cuộc phỏng vấn với Ben Shapiro, biên tập viên DailyWire.com, ngày 1 tháng 3 năm 2017"
"USADailyPost.us, ""Breaking! Trump Chỉ cần Gave Mỗi người đàn ông làm việc, pháp lý Man và trẻ em ở Hoa Kỳ $ 612 Mỗi!"" Ngày 14 tháng 2 năm 2017"
"TheLastLineOfDefense.org, ""Breaking! Trump Chỉ cần Gave Mỗi người đàn ông làm việc, pháp lý Man và trẻ em ở Hoa Kỳ $ 612 Mỗi!"" Ngày 14 tháng 2 năm 2017"
"DepartedMedia.com, ""Starbucks chỉ đặt ảnh của Trump trên sàn để mọi khách hàng phải bước vào đó"", ngày 16 tháng 2 năm 2017"
"Twitter, Trump cho Tổng thống tweet, ngày 16 tháng 2 năm 2017"
"InsidetheMagic.net, ""Starbucks mới mở tại Downtown Disney tại Disneyland với giao diện phong cách, các tính năng tương tác khen menu cổ điển"", ngày 11 tháng 3 năm 2014"
"Business Insider, ""Starbucks đã trở thành mục tiêu của những người bảo thủ yêu thương Trump - và đó là tin tuyệt vời cho thương hiệu"", ngày 5 tháng 2 năm 2017"
"NewsLeak.co, ""Mục tiêu ngừng bán Holy Bible"", ngày 16 tháng 2 năm 2017"
"NationalReport.net, ""Mục tiêu để ngừng bán Holy Bible"", ngày 16 tháng 5 năm 2016, qua Internet Archive"
"CNN, ""Câu trả lời 20 triệu đô la của mục tiêu để tẩy chay phòng tắm chuyển giới,"" ngày 17 tháng 8 năm 2016"
"Wall Street Journal, ""Mục tiêu bổ sung phòng tắm riêng để dập tắt cuộc tranh luận chuyển giới,"" ngày 18 tháng 8 năm 2016"
"Mục tiêu, ""Brian Cornell, Chủ tịch và Giám đốc điều hành,"" được truy cập vào ngày 22 tháng 2 năm 2017"
"Phỏng vấn Lee Henderson, phát ngôn viên Target, ngày 22 tháng 2 năm 2017"
"ReligionMind.com, ""Thủy thủ đoàn săn cá voi Nhật Bản ăn sống bởi cá voi sát thủ, 16 người chết"", ngày 11 tháng 2 năm 2017"
"WorldNewsDailyreport.com, ""Thủy thủ đoàn cá voi Nhật Bản ăn cá voi sát thủ sống, 16 người chết"", ngày 28 tháng 7 năm 2014"
"USPOLN.com, ""John Hagee kêu gọi"" Phụ nữ truy tố nói tên của Đức Chúa Trời trong khi giao hợp "","" Tháng Hai 2017"
"Newslo.com, ""John Hagee kêu gọi"" Phụ nữ truy tố nói tên của Chúa trong khi giao hợp "","" ngày 15 tháng 6 năm 2015"
"TheBlaze.com, ""Whoopi Goldberg và‘ The View ’bị lừa bởi câu chuyện giả về mục sư Christian,"" ngày 22 tháng 6 năm 2015"
"New York Times, ""McCain Rejects Hagee ủng hộ nhận xét của Đức Quốc xã,"" ngày 22 tháng 5 năm 2008"
"San Antonio Express-News, ""Mục sư San Antonio megachurch John Hagee lên án phán quyết hôn nhân đồng tính của Tòa án Tối cao,"" ngày 30 tháng 6 năm 2015"
"LadyLibertysNews.com, ""Người Hồi giáo xúc phạm rằng con cái của họ phải trì tụng quốc ca, cho rằng đó là phân biệt chủng tộc để buộc họ phải ..."", truy cập ngày 20 tháng 2 năm 2017"
"Sydney Morning Herald, ""trẻ em Hồi giáo không nên bị buộc phải hát bài quốc ca, nói Hizb ut-Tahrir,"" ngày 2 tháng 11 năm 2015"
"Người Úc, ""Quốc ca"" là sự đồng hóa cưỡng bức "","" ngày 2 tháng 11 năm 2015"
"YouTube, ""The Fiction Counter-Terrorism"" Bad Bad Uthman, ""ngày 4 tháng 11 năm 2015"
"Tin nhắn Facebook với quản trị viên LadyLibertysNews.com, ngày 20 tháng 2 năm 2017"
"TheTrumpMedia.com, ""McCain đổ lỗi vì phá hoại Trump"", tháng 2 năm 2017"
"AngryPatriotMovement.com, ""ALERT - McCain bắt giữ cuộc gọi điện thoại cực kỳ cao cấp với nước ngoài. Anh ấy có nên từ chức không?"""
"The Hill, ""Nhà Cộng hòa muốn hạn chế du lịch của Pelosi"", ngày 21 tháng 1 năm 2007"
"CNN, ""Có phải 47 thượng nghị sĩ đảng Cộng hòa đã vi phạm pháp luật trong tầm nhìn bình thường?"", Ngày 11 tháng 3 năm 2015"
"Đăng ký của Des Moines, ""Những bình luận của Trump ở Nga có thể là một trọng tội, Vilsack buộc tội"", ngày 28 tháng 7 năm 2016"
"Washington Post, ""‘ Đây là cuộc gọi tồi tệ nhất từ ​​trước tới nay: Trump đã lúng túng, lúng túng và đột ngột kết thúc cuộc gọi điện thoại với lãnh đạo Úc, ""2/2/2017"
"CNN, ""Thỏa thuận người tị nạn ở Hoa Kỳ-Úc: Những điều bạn cần biết"", ngày 2 tháng 2 năm 2017"
"Tạp chí New York, ""John McCain làm cho tốt đẹp với Úc Sau khi Tranh chấp"" không cần thiết ""của Trump,"" 2/2/2017"
"Politico, ""McCain tìm cách đảm bảo với Úc sau cuộc gọi Trump"", ngày 2 tháng 2 năm 2017"
"Thượng nghị sĩ Hoa Kỳ John McCain, ""Tuyên bố của Chủ tịch SASC John McCain về liên minh Mỹ-Úc"", ngày 2 tháng 2 năm 2017"
"BizPacReview.com, ""McCain đã nổ vì làm xói mòn Trump, gọi Đại sứ Úc để bày tỏ"" sự ủng hộ vững chắc "","" ngày 3 tháng 2 năm 2017"
"CNN, ""John McCain tích cực trong vai trò người thổi phồng Trump,"" ngày 3 tháng 2 năm 2017"
"Washington Post, ""Dân chủ cho rằng Donald Trump vừa vi phạm Đạo luật Logan. Đó là gì?"", Ngày 28 tháng 7 năm 2016"
"Phỏng vấn Michael McConnell, giáo sư luật Stanford, ngày 19 tháng 2 năm 2017"
"USANewsToday.org, ""BREAKING: Hillary Clinton nộp đơn xin ly hôn tại các tòa án New York!"", Ngày 8 tháng 2 năm 2017"
"BuzzFeed News, ""Làm thế nào Teens Trong Balkans Đang Duping Trump Supporters Với Fake News,"" ngày 03 tháng 11 năm 2016"
"ChristianTimesNewspaper.com, ""BREAKING: Hillary Clinton nộp đơn xin ly hôn tại các tòa án New York,"" ngày 10 tháng 11 năm 2016 qua Internet Archive"
"LearnProgress.org, ""BREAKING: Trump bắt đầu đầu tư vào đường ống Dakota trước khi ký,"" tháng 2 năm 2017"
"CNN, ""Báo cáo tiết lộ tài chính cá nhân của Donald Trump,"" ngày 22 tháng 7 năm 2015"
"DonaldJTrump.com, ""Donald J. Trump nộp đơn tiết lộ tài chính cá nhân với Ủy ban Bầu cử Liên bang, ngày 17 tháng 5 năm 2016"
"Washington Post, ""Báo cáo tiết lộ tài chính cá nhân giàu có 2"", ngày 18 tháng 5 năm 2016"
"ABC News, ""7 điều chúng tôi đã học được từ Biểu mẫu tiết lộ tài chính cá nhân của Donald Trump,"" ngày 18 tháng 5 năm 2016"
"CNN, ""5 điều cần biết về đường ống dẫn truy cập Dakota,"" ngày 31 tháng 8 năm 2016"
"Dallas Morning News, ""Mối quan tâm tài chính giữa Donald Trump và Dakota Access đường ống đi cả hai cách,"" ngày 26 tháng 10 năm 2016"
"The Guardian, ""Công ty đường ống dẫn Dakota Access và Donald Trump có quan hệ tài chính chặt chẽ"", ngày 26 tháng 10 năm 2016"
"NBC News, ""Điều gì sẽ là một tổng thống Trump có nghĩa là cho đường ống dẫn truy cập Dakota ?,"" ngày 12 tháng 11 năm 2016"
"Washington Post, ""Năng lượng và Môi trường Trump đã bán phá giá cổ phiếu của mình trong chủ sở hữu đường ống Dakota Access trong mùa hè,"" ngày 23 tháng 11 năm 2016"
"Associated Press, ""cổ phiếu của Donald Trump trong công ty đường ống dẫn dầu làm tăng mối quan tâm"", ngày 25 tháng 11 năm 2016"
"Washington Post, ""cổ phiếu của Trump có thể cung cấp cho anh ta một cổ phần cá nhân trong các quy tắc về ngân hàng và các công ty dầu,"" ngày 02 tháng 12 năm 2016"
"Politico, ""chính quyền Obama ngăn chặn đường ống Dakota, khiến các đồng minh Trump giận dữ"", ngày 4 tháng 12 năm 2016"
"CNBC, ""Trump bán cổ phần của mình trong nhà phát triển Dakota Access Pipeline"", ngày 5 tháng 12 năm 2016"
"Reuters, ""Trump hỗ trợ hoàn thành đường ống dẫn truy cập Dakota,"" ngày 5 tháng 12 năm 2016"
"CNBC, ""Trump ký các hành động điều hành để thúc đẩy Keystone XL, đường ống dẫn truy cập Dakota,"" ngày 24 tháng 1 năm 2017"
"WhiteHouse.gov, ""Bản ghi nhớ tổng thống về xây dựng đường ống dẫn truy cập Dakota,"" ngày 24 tháng 1 năm 2017"
"The Hill, ""chính quyền Trump đưa ra ánh sáng xanh cuối cùng cho đường ống Dakota Access,"" ngày 7 tháng 2 năm 2017"
"Los Angeles Times, ""Xây dựng tiếp tục trên đường ống Dakota Access,"" ngày 9 tháng 2 năm 2017"
"Tin tức NBC, ""Thách thức tập tin Rock đứng tại vị trí đứng sau hành động của Trump trên đường ống Dakota"", ngày 14 tháng 2 năm 2017"
"DepartedMedia.com, ""Bill Gates:"" Tôi nghĩ Donald Trump sẽ đi xuống lịch sử như một trong những tổng thống vĩ đại nhất, giống như Reagan. ', ""Ngày 4 tháng 2 năm 2017"
"The Hill, ""Bill Gates: Trump"" đã không được biết đến ""để tặng từ thiện,"" ngày 1 tháng 6 năm 2016"
"CNBC, ""Bill Gates nói Trump có cơ hội giống như JFK,"" ngày 13 tháng 12 năm 2016"
"The Hill, ""Bill Gates gặp gỡ với Trump"", ngày 13 tháng 12 năm 2016"
"Đại học Stanford, ""Jeff Raikes được bầu làm Chủ tịch Hội đồng Quản trị Đại học Stanford,"" ngày 18 tháng 1 năm 2017"
"Bill Gates, tài khoản Twitter, ngày 22 tháng 1 năm 2017"
"RedRockTribune.com, ""Luật mới hiện đang tính tất cả những người biểu tình bạo lực với chủ nghĩa khủng bố, truyền bá tin tức và chia sẻ điều này !!"", tháng 11 năm 2016"
"ConservativeDailyPost.com, ""Luật mới bây giờ sạc tất cả những người biểu tình với chủ nghĩa khủng bố, các nhà lập pháp kêu gọi người Mỹ chia sẻ điều này"", ngày 17 tháng 11 năm 2016"
"Associated Press, ""Người biểu tình chặn đường ray xe lửa đến 2 nhà máy lọc dầu của Washington,"" ngày 15 tháng 5 năm 2016"
"The Hill, ""Washington Republican đề xuất những người biểu tình phản đối với 'khủng bố kinh tế',"" ngày 17 tháng 11 năm 2016"
"Q13 Fox, ""thượng nghị sĩ bang Cộng hòa đề xuất tạo ra tội mới"" khủng bố kinh tế ""nhằm vào những người biểu tình,"" ngày 16 tháng 11 năm 2017"
"Thượng nghị sĩ Doug Ericksen, ""Ericksen giới thiệu Đạo luật ngăn chặn kinh tế,"" ngày 16 tháng 12 năm 2016"
"Seattle Times, ""Cư dân tìm cách triệu hồi thượng nghị sĩ về nhóm chuyển tiếp Trump,"" ngày 10 tháng 2 năm 2017"
"Cơ quan lập pháp bang Washington, ""SB 5009 - 2017-18"", được truy cập ngày 14 tháng 2 năm 2017"
"Liên minh Tự do Dân sự Hoa Kỳ, ""Biết quyền của bạn: Phải làm gì nếu quyền của bạn bị vi phạm tại một cuộc biểu tình hoặc phản đối"", được truy cập ngày 14 tháng 2 năm 2017"
"TheSeattleTribune.com, ""Mẹ Idaho bị kết án tù sau nhiều trích dẫn cho con bú ở nơi công cộng"", ngày 3 tháng 9 năm 2016"
"Đài phát thanh công cộng của Boise State, ""Tại sao nhiều bà mẹ Idaho cho con bú nhiều hơn bất cứ nơi nào ở Hoa Kỳ,"" ngày 15 tháng 8 năm 2013"
"Huffington Post, ""Đây là tất cả các quốc gia nơi hợp pháp để nuôi con bằng sữa mẹ ở nơi công cộng"", ngày 1 tháng 8 năm 2014"
"KMVT 11, ""Bà Idaho America thúc đẩy luật cho con bú,"" ngày 4 tháng 3 năm 2016"
"KBOI 2, ""Giai đoạn mẹ"" y tá-in ': 49 tiểu bang cho phép bú mẹ công cộng, Idaho không phải là một trong số họ "", ngày 29 tháng 4 năm 2016"
"Idaho Department of Correction, tìm kiếm người phạm tội, được truy cập vào ngày 10 tháng 2 năm 2017"
"Flickr, bradfordst219 ảnh, truy cập ngày 10 tháng 2 năm 2017"
"PhoenixMugs.com, Elayne Blair Johnson, đã truy cập vào ngày 10 tháng 2 năm 2017"
"Geology.com, ""Bản đồ hạt Idaho với các thành phố của hạt,"" được truy cập vào ngày 10 tháng 2 năm 2017"
"CityOfWeiser.net, trang chủ, truy cập ngày 10 tháng 2 năm 2017"
"Hội nghị quốc gia về lập pháp tiểu bang, ""luật tiểu bang cho con bú"", được truy cập ngày 10 tháng 2 năm 2017"
"Cơ quan lập pháp Idaho, ""Mã Idaho § 2-212"", được truy cập ngày 10 tháng 2 năm 2017"
"MoveOn.org, ""Idaho cần một đạo luật để bảo vệ việc cho con bú ở nơi công cộng"", được truy cập vào ngày 10 tháng 2 năm 2017"
"DonaldTrumpPOTUS45.com, ""Breaking! Tổng thống Trump làm cho tiếng Anh là ngôn ngữ chính thức của Hoa Kỳ!"", Ngày 26 tháng 1 năm 2017"
"Washington Post, ""Các quốc gia mà tiếng Anh là ngôn ngữ chính thức"", ngày 12 tháng 8 năm 2014"
"The Hill, ""Dự luật GOP sẽ làm cho ngôn ngữ chính thức tiếng Anh của Hoa Kỳ"", ngày 13 tháng 2 năm 2015"
"Breitbart.com, ""Độc quyền - Donald Trump cháy trở lại tại Jeb Bush: Anh ấy nên dẫn đầu bởi"" Nói tiếng Anh ""Trong khi ở Hoa Kỳ,"" ngày 2 tháng 9 năm 2015"
"Phóng viên Hollywood, ""Donald Trump:"" Trong khi chúng tôi đang ở trong quốc gia này, chúng ta nên nói tiếng Anh "", ngày 3 tháng 9 năm 2015"
"Văn phòng DC McClatchy, ""Trump khởi động cuộc tranh luận bằng tiếng Anh chỉ với trang WhiteHouse.gov thiếu tiếng Tây Ban Nha,"" ngày 23 tháng 1 năm 2017"
"Los Angeles Times, ""Không có habla espanol? Trang web Nhà Trắng không còn nói tiếng Tây Ban Nha"", ngày 23 tháng 1 năm 2017"
"Los Angeles Times, ""Nhà Trắng hứa hẹn trang web sẽ khôi phục nội dung tiếng Tây Ban Nha: 'Chúng tôi chỉ đang xây dựng',"" ngày 24 tháng 1 năm 2017"
"WhiteHouse.gov, trang tiếng Tây Ban Nha, được truy cập ngày 9 tháng 2 năm 2017"
"Mỹ-Truyền hình, Donald Trump ký một chính sách du lịch miễn thị thực cho Ghana, ngày 30 tháng 1 năm 2017"
"Đại sứ quán Hoa Kỳ Ghana, Tweet, ngày 8 tháng 2 năm 2017"
"Bộ Ngoại giao Hoa Kỳ, Tỷ lệ từ chối được điều chỉnh - Chỉ dành cho B-Visa theo Năm tài chính quốc gia 2013, được truy cập vào ngày 8 tháng 2 năm 2017"
"Bộ Ngoại giao Hoa Kỳ, Chương trình Miễn thị thực, được truy cập vào ngày 8 tháng 2 năm 2017"
"Truyền hình Mỹ, Donald Trump đã ký một chính sách miễn thị thực cho Mauritius, ngày 3 tháng 2 năm 2017"
"Kênh CNN, Donald Trump đã ký một chính sách miễn thị thực cho Gambia, được truy cập vào ngày 15 tháng 2 năm 2017"
"Truyền hình Mỹ, Donald Trump đã ký một chính sách miễn thị thực cho Sri Lanka, được truy cập vào ngày 15 tháng 2 năm 2017"
"Truyền hình Mỹ, Donald Trump đã ký một chính sách miễn thị thực cho Botswana, được truy cập vào ngày 15 tháng 2 năm 2017"
"USAPoliticsZone.com, ""Lệnh điều hành dẫn đến việc nắm bắt lãnh đạo ISIS, Rasheed Muhammad,"" ngày 31 tháng 1 năm 2017"
