claim,page_citation,page_is_first_citation
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Trung tâm quốc gia của Úc về nghiên cứu và giám sát tiêm chủng, Human papillomavirus: Thông tin cho các nhà cung cấp, tháng 4 năm 2016",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Tổ chức Y tế Thế giới, Tuyên bố về An toàn của vắc-xin HPV, ngày 17 tháng 12 năm 2015",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Khoa học trực tiếp, các sự kiện bất lợi sau tiêm chủng HPV, Alberta 2006–2014, tháng 4 năm 2016",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Lancet, hệ thống treo vắc-xin HPV của Ấn Độ, ngày 21 tháng 8 năm 2010",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Times of India, 'Bốn ca tử vong không phải do thử nghiệm vắc-xin ung thư cổ tử cung không hoàn thiện', ngày 9 tháng 4 năm 2010",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Thời của Ấn Độ, các cô gái Ấn Độ không guinea lợn cho vắc-xin ung thư cổ tử cung: Azad, ngày 22 tháng 4 năm 2010",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Khoa học, Nghị viện Ấn Độ đi xuống khó khăn về thử nghiệm ung thư cổ tử cung, ngày 9 tháng 9 năm 2013",0
Pro-Lifers Tuyên bố 'Xuất tinh là giết người: Mỗi tế bào tinh trùng là một cuộc sống.',"ThatViralFeed.net, ""Pro-Lifers Tuyên bố 'Xuất tinh là giết người: Mỗi tế bào tinh trùng là một cuộc sống"", ""ngày 16 tháng 5 năm 2016",1
Pro-Lifers Tuyên bố 'Xuất tinh là giết người: Mỗi tế bào tinh trùng là một cuộc sống.',"KnowYourMeme.com, ""Trollface / Coolface / Problem ?,"" được truy cập vào ngày 20 tháng 12 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Chính trị thời gian thực, ""Dân chủ nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey,"" ngày 11 tháng 12 năm 2016",1
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.",18 Bộ luật Hoa Kỳ § 2381 - Phản quốc,0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Sở Tư pháp Văn phòng Trách nhiệm nghề nghiệp, trang web, truy cập ngày 15 tháng 12 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Snopes.com, ""Đơn khiếu nại về khiếu nại chống khiếu nại Super PAC đã được đệ trình chống lại James Comey qua Điều tra E-Mail"", ngày 28 tháng 10 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Snopes.com, ""Một lý do phí"", ngày 12 tháng 12 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","PolitiFact, ""Đạo luật Hatch là gì, và nó có liên quan gì với James Comey?"" Ngày 31 tháng 10 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Cuộc phỏng vấn qua email với Kermit Roosevelt, giáo sư luật tại Đại học Pennsylvania, ngày 15 tháng 12 năm 2016",0
"Đảng Dân chủ Nộp phí TREASON chống lại Trump, McConnell, Giuliani, & Comey.","Cuộc phỏng vấn qua email với Brett Kappel, luật sư chuyên về đạo đức của chính phủ tại công ty luật Akerman, ngày 15 tháng 12 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","FreedomDaily.com, ""BREAKING: Obama-Led U.N. Vừa thực hiện chính thức, Hoa Kỳ để ngay lập tức trả tiền cho 'Người sửa chữa' đen,"" ngày 9 tháng 12 năm 2016",1
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","PolitiFact, ""Những gì Bernie Sanders, Barack Obama và Hillary Clinton đã nói về bồi thường cho chế độ nô lệ"", ngày 26 tháng 1 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","Văn phòng Nhân quyền Cao ủy Liên Hợp Quốc, ""Tuyên bố với giới truyền thông của Nhóm các chuyên gia Liên Hợp Quốc về những người gốc châu Phi, khi kết thúc chuyến thăm chính thức tới Hoa Kỳ, ngày 19-29 tháng 1 năm 2016,"" ngày 29 tháng 1 , 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","Đại hội đồng Liên Hợp Quốc, ""Báo cáo của Nhóm làm việc của các chuyên gia về người gốc châu Phi về sứ mệnh của mình đến Hoa Kỳ,"" ngày 18 tháng 8 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","Washington Post, ""WorldViews Mỹ nợ người da đen sửa chữa cho một lịch sử của"" khủng bố chủng tộc, ""bảng điều khiển U.N.,"" ngày 27 tháng 9 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","ConservativeDailyPost.com, ""BREAKING: Obama-Led U.N. Vừa thực hiện chính thức, Hoa Kỳ để ngay lập tức trả tiền cho 'Người sửa chữa' đen,"" ngày 7 tháng 12 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","UPI, ""Antonio Guterres tuyên thệ nhậm chức tổng thư ký thứ Chín,"" ngày 12 tháng 12 năm 2016",0
"Obama-Led U.N. Chỉ cần thực hiện nó chính thức, Mỹ để ngay lập tức trả tiền bồi thường của người da đen '.","Văn phòng Nhân quyền của Cao ủy Liên hợp quốc, Nhóm làm việc của các chuyên gia về người gốc châu Phi, được truy cập vào ngày 14 tháng 12 năm 2016",0
Đảng Cộng hòa tìm cách cắt giảm an sinh xã hội nhiều như 50 phần trăm ngay lập tức.,"New Century Post, ""Đảng Cộng hòa tìm cách cắt giảm an sinh xã hội nhiều như 50% ngay lập tức"", ngày 9 tháng 12 năm 2016",1
Đảng Cộng hòa tìm cách cắt giảm an sinh xã hội nhiều như 50 phần trăm ngay lập tức.,"Bản ghi nhớ về điểm nói, ""Tham dự Big Enchilada"", ngày 9 tháng 12 năm 2016",0
Đảng Cộng hòa tìm cách cắt giảm an sinh xã hội nhiều như 50 phần trăm ngay lập tức.,"Talking Points Memo, ""Key House GOPer giới thiệu hóa đơn với những khoản cắt giảm lớn đối với an sinh xã hội"", ngày 9 tháng 12 năm 2016",0
Đảng Cộng hòa tìm cách cắt giảm an sinh xã hội nhiều như 50 phần trăm ngay lập tức.,"Sam Johnson, ""Đạo luật cải cách an sinh xã hội năm 2016"" (tóm tắt), tháng 12 năm 2016",0
Nhà dân chủ tấn công để thực hiện pháp luật Sharia !!,"Hillary For Prison, bài đăng trên Facebook, ngày 12 tháng 12 năm 2016",1
Nhà dân chủ tấn công để thực hiện pháp luật Sharia !!,"MadWorldNews.com, ""Dems nhà đã chuyển sang thực hiện Luật Sharia đầu tiên trong khi bạn không tìm kiếm"", ngày 30 tháng 12 năm 2015",0
Nhà dân chủ tấn công để thực hiện pháp luật Sharia !!,"PolitiFact Florida, ""cố vấn an ninh của Trump đã chọn Michael Flynn lặp đi lặp lại tuyên bố sai lầm vô cùng sai lầm về FL Dân chủ, luật Sharia,"" ngày 22 tháng 11 năm 2016",0
Nhà dân chủ tấn công để thực hiện pháp luật Sharia !!,"President45DonaldTrump.com, ""Đây là TREASON !! Nhà DEMOCRATS STRIKE THỰC HIỆN LUẬT SHARIA !!"", truy cập ngày 13 tháng 12 năm 2016",0
Nhà dân chủ tấn công để thực hiện pháp luật Sharia !!,"Congress.gov, HR 569, được truy cập vào ngày 13 tháng 12 năm 2016",0
"Trước khi rời bỏ, Obama áp dụng các quy tắc để kiếm 3.000 USD từ MỌI người Mỹ.","Tribune bảo thủ, ""OUTRAGE: Trước khi rời khỏi, Obama Enacts quy tắc để có $ 3.000 từ MỌI người Mỹ,"" ngày 02 tháng 12 năm 2016",1
"Trước khi rời bỏ, Obama áp dụng các quy tắc để kiếm 3.000 USD từ MỌI người Mỹ.","Diễn đàn hành động Mỹ, ""Vượt qua $ 1 tỷ"" (bài đăng trên blog), ngày 1 tháng 12 năm 2016",0
"Trước khi rời bỏ, Obama áp dụng các quy tắc để kiếm 3.000 USD từ MỌI người Mỹ.","Diễn đàn hành động của Mỹ, cơ sở dữ liệu ""Quy định Rodeo"", được truy cập vào ngày 14 tháng 12 năm 2016",0
"Trước khi rời bỏ, Obama áp dụng các quy tắc để kiếm 3.000 USD từ MỌI người Mỹ.","Cuộc phỏng vấn qua email với Sam Batkins, giám đốc chính sách pháp lý của nhóm, ngày 13 tháng 12 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"MRCTV, 2/3 người ngoài hành tinh được thừa nhận theo chương trình 'Người thiểu số' của Obama là người lớn, ngày 1 tháng 12 năm 2016",1
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Unicef, Rủi ro tất cả để thoát khỏi bạo lực băng đảng và nghèo đói, ngày 23 tháng 8 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Trung tâm nghiên cứu Pew, DHS: Bạo lực, nghèo đói, đang khiến trẻ em phải chạy trốn khỏi Trung Mỹ đến Mỹ, ngày 1 tháng 7 năm 2014",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Bảo vệ Biên giới và Hải quan Hoa Kỳ, Trẻ em người nước ngoài không có người thân trong Biên giới Tây Nam năm 2014, được xuất bản lần cuối ngày 24 tháng 11 năm 2015",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Hải quan Hoa Kỳ và Bảo vệ Biên giới, Hoa Kỳ Tuần tra Biên giới Tây Nam Đơn vị Gia đình Chủ đề và Không có người ngoài hành tinh Các trẻ em bị bắt giữ Năm tài chính 2016, được xuất bản lần cuối vào ngày 18 tháng 10 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Dịch vụ Công dân và Di trú Hoa Kỳ, Đạo luật Bảo vệ Tình trạng Trẻ em (CSPA), được cập nhật lần cuối vào ngày 3 tháng 8 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Dịch vụ Công dân và Nhập cư Hoa Kỳ, Người tị nạn trong nước / Tạm tha chế biến cho trẻ vị thành niên ở Honduras, El Salvador và Guatemala (Trẻ vị thành niên Trung Mỹ - CAM)",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Bộ Ngoại giao, Chương trình Trẻ vị thành niên Trung Mỹ (CAM)",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Mở rộng Chương trình Trẻ vị thành niên Trung Mỹ (CAM), ngày 15 tháng 11 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Bộ Ngoại giao Hoa Kỳ, Hoa Kỳ mở rộng các sáng kiến ​​để thách thức di chuyển địa chỉ, ngày 26 tháng 7 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Bộ Ngoại giao, Người tị nạn trong nước / Chương trình Tạm tha dành cho Trẻ vị thành niên ở El Salvador, Guatemala và Honduras Với Cha mẹ Có mặt Hợp pháp tại Hoa Kỳ, ngày 14 tháng 11 năm 2014",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"The New York Times, Q. và A. Children at the Border, cập nhật ngày 21 tháng 10 năm 2014",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Nhà Trắng, TỜ THÔNG TIN: Trẻ em không đi cùng từ Trung Mỹ, ngày 20 tháng 6 năm 2014",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Dịch vụ nhập cư và tị nạn Lutheran, Câu hỏi thường gặp Trung tâm trẻ vị thành niên người Mỹ (CAM): Người tị nạn trong nước / Tạm tha chế biến cho trẻ vị thành niên ở El Salvador, Guatemala và Honduras",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Los Angeles Times, Thất vọng bởi chương trình mới của Hoa Kỳ để đưa người di cư, cha mẹ Trung Mỹ chuyển sang những kẻ buôn lậu, ngày 21 tháng 4 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Thời báo New York, làn sóng trẻ vị thành niên trên Rush của riêng họ để vượt qua biên giới Tây Nam, ngày 4 tháng 6 năm 2014",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Hội nghị quốc gia về lập pháp tiểu bang, tuổi đại đa số, cập nhật lần cuối tháng 3 năm 2015",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Cuộc phỏng vấn qua email, phát ngôn viên của Bộ Ngoại giao, ngày 6 tháng 12 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Cuộc phỏng vấn qua email, người phát ngôn của USCIS, ngày 6 tháng 12 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Cuộc phỏng vấn qua email, Peter Margulies, người dạy luật nhập cư và luật an ninh quốc gia tại Trường Luật Roger Williams, ngày 6 tháng 12 năm 2016",0
Hơn hai phần ba số người ngoài hành tinh mà chính quyền Obama đã mang đến Hoa Kỳ theo chương trình người Mỹ gốc Trung Mỹ của tổng thống không thực sự là trẻ vị thành niên.,"Cuộc phỏng vấn qua email, Michael Kagan, giáo sư luật và giám đốc phòng khám nhập cư tại Đại học Nevada, Las Vegas, ngày 6 tháng 12 năm 2016",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Cuộc phỏng vấn qua điện thoại, Myriam Witcher, ngày 30 tháng 11 năm 2016",1
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Kênh YouTube, Myriam Witcher",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","CBSN, người ủng hộ Latina: ""Trump, chúng tôi yêu bạn!"", Ngày 8 tháng 10 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","CNN, người hâm mộ gốc Tây Ban Nha Trump: Donald là một thiên thần được gửi từ thiên đường, ngày 9 tháng 10 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","CNN, kế hoạch nhập cư của Trump: Trục xuất không có giấy tờ, 'tình trạng pháp lý' cho một số người, ngày 30 tháng 7 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Hôm nay Los Angeles, bạn đã trục xuất người phụ nữ Colombia, người đã nói rằng cô ấy đã yêu Donald J. Trump ?, ngày 15 tháng 10 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Tin tức Panamerican, trục xuất một người Colombia tuyên bố tình yêu của mình dành cho Trump, ngày 9 tháng 10 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Coyotitos.com, Người gốc Tây Ban Nha ủng hộ Donald Trump đã bị Bộ Di Trú trục xuất",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","El Tiempo, Ý kiến ​​chia cho đề xuất nhập cư của Donald Trump, tháng 9. 9, 2016",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Las Vegas Sun, Trump gặp khó khăn trong các cử tri Latino ở Nevada, ngày 9 tháng 10 năm 2015",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Spiegel Online, Vũ trụ thô lỗ của một người hâm mộ Trump, Crazy for Donald, ngày 1 tháng 11 năm 2016",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Thi hành luật hải quan và xuất nhập cảnh Hoa Kỳ, hệ thống định vị tù nhân trực tuyến",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Trao đổi trên Twitter, Anthony Avellaneda, nhà báo cho tờ báo El Tiempo, ngày 1 tháng 12 năm 2016",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Amazon, Donald Trump Mỹ đầu tiên và tuyệt vời một lần nữa Paperback - ngày 20 tháng 5 năm 2016",0
"Latina, người nhiệt tình ủng hộ Donald Trump trên sân khấu ở Las Vegas vào tháng 10 năm 2015 đã bị trục xuất.","Cuộc phỏng vấn qua email, Gail J. Anderson, một thư ký thứ trưởng trong văn phòng Bộ trưởng Ngoại giao Nevada, ngày 2 tháng 12 năm 2016",0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Bài viết của Townhall.com,1
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Email ngày 1 tháng 12 từ Kerwin Swint,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Dự luật Thượng viện 1911 năm 2005,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Bài viết về Hot Air và Hillary Clinton,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Bài viết của Newsweek về Trump và cờ tweet,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Bài báo Patheos về luật Clinton và 2005,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Snopes.com bài viết về đốt cờ,0
Hillary Clinton trong năm 2005 đồng tài trợ pháp luật mà sẽ tù cờ đốt.,Blog của Trung tâm Hiến pháp,0
"Lady Gaga tuyên bố cô sẽ che mặt mình ""cho đến khi Trump bị sa thải khỏi văn phòng.""","TheRightists.com, ""Lady Gaga tiết lộ kế hoạch để che mặt của cô ấy một lần nữa 'Cho đến khi Trump được kích hoạt từ văn phòng và tôi cảm thấy tự do một lần nữa',"" ngày 25 tháng 11 năm 2016",1
"Lady Gaga tuyên bố cô sẽ che mặt mình ""cho đến khi Trump bị sa thải khỏi văn phòng.""","CBS Sunday Morning, ""Lady Gaga mở màn về việc chia tay Taylor Kinney trên CBS Sunday Morning,"" ngày 27 tháng 11 năm 2016",0
"Lady Gaga tuyên bố cô sẽ che mặt mình ""cho đến khi Trump bị sa thải khỏi văn phòng.""","CBS Sunday Morning, ""Lady Gaga: Tôi nhớ kết nối với mọi người,"" ngày 23 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"The Verge, ""Cơn sợ hãi về CNN khiêu dâm là cách tin tức giả lan truyền"", ngày 25 tháng 11 năm 2016",1
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"The Independent, ""CNN từ chối phát sóng 30 phút của phim khiêu dâm hardcore"", ngày 25 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Twitter.com, @RCNconnects tweets, ngày 25 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Twitter.com, @DRUDGE_REPORT tweet, ngày 25 tháng 11 năm 2015",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Đa dạng, ""CNN, Báo cáo từ chối RCN về Phát sóng Khiêu dâm trên Kênh ở Boston,"" ngày 25 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"BuzzFeed News. ""Hộp cáp của người phụ nữ này thể hiện khiêu dâm trên CNN - Sau đó, nó trở thành toàn bộ điều này,"" ngày 25 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Mediaite, ""Phương tiện truyền thông có rơi vào một câu chuyện giả về CNN Airing 30 phút của Hardcore Porn tối qua không ?,"" ngày 25 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Phỏng vấn Barbara Levin, phát ngôn viên CNN, ngày 28 tháng 11 năm 2016",0
CNN vô tình phát sóng 30 phút khiêu dâm ở Boston vào đêm Lễ Tạ Ơn.,"Cuộc phỏng vấn với Amy Murphy, phát ngôn viên của RCN, ngày 28 tháng 11 năm 2016",0
Harambe đã nhận được 15.000 phiếu bầu trong cuộc bầu cử tổng thống.,"The Washington Post, ""Lập kế hoạch viết trong Paul Ryan hay Bernie Sanders? Nó sẽ không tính ở hầu hết các bang."" Ngày 3 tháng 11 năm 2016",1
Harambe đã nhận được 15.000 phiếu bầu trong cuộc bầu cử tổng thống.,"TheStar, ""phiếu bầu chưa được trả của California đã vượt tổng số phiếu bầu của 34 tiểu bang,"" ngày 21 tháng 11.",0
Harambe đã nhận được 15.000 phiếu bầu trong cuộc bầu cử tổng thống.,"Coed, ""The Legend Of Harambe tiếp tục như Gorilla chết nhận được hơn 15.000 phiếu bầu cho tổng thống,"" ngày 09 tháng 11",0
