claim,page_citation,claim_label
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Cuộc phỏng vấn với Ben Shapiro, biên tập viên DailyWire.com, ngày 1 tháng 3 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","TheTrumpMedia.com, ""McCain đổ lỗi vì phá hoại Trump"", tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","AngryPatriotMovement.com, ""ALERT - McCain bắt giữ cuộc gọi điện thoại cực kỳ cao cấp với nước ngoài. Anh ấy có nên từ chức không?""",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","The Hill, ""Nhà Cộng hòa muốn hạn chế du lịch của Pelosi"", ngày 21 tháng 1 năm 2007",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","CNN, ""Có phải 47 thượng nghị sĩ đảng Cộng hòa đã vi phạm pháp luật trong tầm nhìn bình thường?"", Ngày 11 tháng 3 năm 2015",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Đăng ký của Des Moines, ""Những bình luận của Trump ở Nga có thể là một trọng tội, Vilsack buộc tội"", ngày 28 tháng 7 năm 2016",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Washington Post, ""‘ Đây là cuộc gọi tồi tệ nhất từ ​​trước tới nay: Trump đã lúng túng, lúng túng và đột ngột kết thúc cuộc gọi điện thoại với lãnh đạo Úc, ""2/2/2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","CNN, ""Thỏa thuận người tị nạn ở Hoa Kỳ-Úc: Những điều bạn cần biết"", ngày 2 tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Tạp chí New York, ""John McCain làm cho tốt đẹp với Úc Sau khi Tranh chấp"" không cần thiết ""của Trump,"" 2/2/2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Politico, ""McCain tìm cách đảm bảo với Úc sau cuộc gọi Trump"", ngày 2 tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Thượng nghị sĩ Hoa Kỳ John McCain, ""Tuyên bố của Chủ tịch SASC John McCain về liên minh Mỹ-Úc"", ngày 2 tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","BizPacReview.com, ""McCain đã nổ vì làm xói mòn Trump, gọi Đại sứ Úc để bày tỏ"" sự ủng hộ vững chắc "","" ngày 3 tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","CNN, ""John McCain tích cực trong vai trò người thổi phồng Trump,"" ngày 3 tháng 2 năm 2017",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Washington Post, ""Dân chủ cho rằng Donald Trump vừa vi phạm Đạo luật Logan. Đó là gì?"", Ngày 28 tháng 7 năm 2016",0
"Thượng nghị sĩ John McCain nói rằng ""đã bắt được cuộc gọi điện thoại bất hợp pháp đến nước ngoài.""","Phỏng vấn Michael McConnell, giáo sư luật Stanford, ngày 19 tháng 2 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","LearnProgress.org, ""BREAKING: Trump bắt đầu đầu tư vào đường ống Dakota trước khi ký,"" tháng 2 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","CNN, ""Báo cáo tiết lộ tài chính cá nhân của Donald Trump,"" ngày 22 tháng 7 năm 2015",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","DonaldJTrump.com, ""Donald J. Trump nộp đơn tiết lộ tài chính cá nhân với Ủy ban Bầu cử Liên bang, ngày 17 tháng 5 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Washington Post, ""Báo cáo tiết lộ tài chính cá nhân giàu có 2"", ngày 18 tháng 5 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","ABC News, ""7 điều chúng tôi đã học được từ Biểu mẫu tiết lộ tài chính cá nhân của Donald Trump,"" ngày 18 tháng 5 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","CNN, ""5 điều cần biết về đường ống dẫn truy cập Dakota,"" ngày 31 tháng 8 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Dallas Morning News, ""Mối quan tâm tài chính giữa Donald Trump và Dakota Access đường ống đi cả hai cách,"" ngày 26 tháng 10 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","The Guardian, ""Công ty đường ống dẫn Dakota Access và Donald Trump có quan hệ tài chính chặt chẽ"", ngày 26 tháng 10 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","NBC News, ""Điều gì sẽ là một tổng thống Trump có nghĩa là cho đường ống dẫn truy cập Dakota ?,"" ngày 12 tháng 11 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Washington Post, ""Năng lượng và Môi trường Trump đã bán phá giá cổ phiếu của mình trong chủ sở hữu đường ống Dakota Access trong mùa hè,"" ngày 23 tháng 11 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Associated Press, ""cổ phiếu của Donald Trump trong công ty đường ống dẫn dầu làm tăng mối quan tâm"", ngày 25 tháng 11 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Washington Post, ""cổ phiếu của Trump có thể cung cấp cho anh ta một cổ phần cá nhân trong các quy tắc về ngân hàng và các công ty dầu,"" ngày 02 tháng 12 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Politico, ""chính quyền Obama ngăn chặn đường ống Dakota, khiến các đồng minh Trump giận dữ"", ngày 4 tháng 12 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","CNBC, ""Trump bán cổ phần của mình trong nhà phát triển Dakota Access Pipeline"", ngày 5 tháng 12 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Reuters, ""Trump hỗ trợ hoàn thành đường ống dẫn truy cập Dakota,"" ngày 5 tháng 12 năm 2016",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","CNBC, ""Trump ký các hành động điều hành để thúc đẩy Keystone XL, đường ống dẫn truy cập Dakota,"" ngày 24 tháng 1 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","WhiteHouse.gov, ""Bản ghi nhớ tổng thống về xây dựng đường ống dẫn truy cập Dakota,"" ngày 24 tháng 1 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","The Hill, ""chính quyền Trump đưa ra ánh sáng xanh cuối cùng cho đường ống Dakota Access,"" ngày 7 tháng 2 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Los Angeles Times, ""Xây dựng tiếp tục trên đường ống Dakota Access,"" ngày 9 tháng 2 năm 2017",0
"Donald Trump đã ""bắt đầu đầu tư vào (the) Dakota Pipeline trước khi ký tên.""","Tin tức NBC, ""Thách thức tập tin Rock đứng tại vị trí đứng sau hành động của Trump trên đường ống Dakota"", ngày 14 tháng 2 năm 2017",0
